date,open,high,low,close,volume
2020-12-09 16:00:00,18194.01,18249.00,18194.01,18244.71,792.813
2020-12-09 16:00:00,18194.01,18249.00,18194.01,18244.70,793.004
2020-12-09 16:00:00,18194.01,18249.00,18194.01,18244.54,793.040
2020-12-09 16:00:00,18194.01,18249.00,18194.01,18244.54,794.312
2020-12-09 16:00:00,18194.01,18249.00,18194.01,18244.53,794.336
2020-12-09 16:00:00,18194.01,18249.00,18194.01,18244.53,794.823
2020-12-09 16:00:00,18194.01,18249.00,18194.01,18244.54,794.960
2020-12-09 16:00:00,18194.01,18249.00,18194.01,18244.54,795.098
2020-12-09 16:00:00,18194.01,18249.00,18194.01,18244.54,795.379
2020-12-09 16:00:00,18194.01,18249.00,18194.01,18244.53,795.654
2020-12-09 16:00:00,18194.01,18249.00,18194.01,18244.53,796.464
2020-12-09 16:00:00,18194.01,18250.00,18194.01,18249.98,881.219
2020-12-09 16:00:00,18194.01,18250.00,18194.01,18249.98,881.332
2020-12-09 16:00:00,18194.01,18250.00,18194.01,18249.98,881.346
2020-12-09 16:00:00,18194.01,18250.00,18194.01,18249.99,881.507
2020-12-09 16:00:00,18194.01,18250.00,18194.01,18249.99,881.608
2020-12-09 16:00:00,18194.01,18250.00,18194.01,18248.06,883.744
2020-12-09 16:00:00,18194.01,18250.00,18194.01,18248.07,884.769
2020-12-09 16:00:00,18194.01,18250.00,18194.01,18247.14,884.794
2020-12-09 16:00:00,18194.01,18251.08,18194.01,18251.08,897.171
2020-12-09 16:00:00,18194.01,18252.50,18194.01,18251.07,902.146
2020-12-09 16:00:00,18194.01,18252.50,18194.01,18252.49,902.860
2020-12-09 16:00:00,18194.01,18252.50,18194.01,18252.18,904.314
2020-12-09 16:00:00,18194.01,18252.99,18194.01,18252.99,907.093
2020-12-09 16:00:00,18194.01,18252.99,18194.01,18252.93,907.338
2020-12-09 16:00:00,18194.01,18252.99,18194.01,18252.93,907.989
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18252.22,910.756
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18252.64,910.952
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18252.69,910.959
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18252.69,911.209
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18252.69,911.304
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18251.08,912.568
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18250.49,912.984
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18250.25,913.532
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18250.24,913.782
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18247.82,916.471
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18247.82,916.547
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18250.10,920.648
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18250.49,920.773
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18250.50,923.095
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18250.49,923.390
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18250.50,924.356
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18250.49,924.397
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18250.49,925.581
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18250.50,925.608
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18250.49,925.748
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18250.50,926.196
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18253.50,933.922
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18252.80,934.453
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18252.57,935.064
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18251.08,935.525
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18251.08,935.581
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18250.59,935.770
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18250.50,945.792
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18250.51,948.094
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18250.51,948.200
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18250.51,951.103
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18250.51,951.856
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18250.51,951.863
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18250.51,952.497
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18250.51,952.696
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18250.51,953.169
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18250.51,956.651
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18250.50,964.039
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18250.50,968.281
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18250.51,968.814
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18250.51,969.691
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18250.50,970.269
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18252.57,971.427
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18252.56,971.550
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18246.20,983.582
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18244.53,986.362
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18241.99,989.205
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18240.98,1005.753
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18244.00,1007.501
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18244.01,1008.037
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18247.14,1008.553
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18249.49,1008.709
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18247.88,1020.045
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18247.88,1020.077
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18247.89,1020.131
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18247.88,1020.635
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18249.45,1023.198
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18247.67,1024.721
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18249.26,1028.942
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18247.30,1028.954
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18247.97,1029.016
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18247.80,1029.195
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18246.08,1029.992
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18240.99,1031.101
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18240.48,1031.338
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18240.48,1031.350
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18242.36,1037.065
2020-12-09 16:00:00,18194.01,18254.25,18194.01,18242.36,1037.385
