Date,Open,High,Low,Close,Volume,Obv,Rsi
2019-11-10,8733.27,9147.19,8750.0,9039.47,44888.053545,-3960054.9125169977,74.0042530867367
2019-11-09,9039.47,8880.0,8724.88,8809.41,34422.029797,-3994476.9423139975,66.57925801091021
2019-11-08,8809.41,9261.0,8696.0,8773.73,29469.481405,-4023946.4237189977,65.48194761945591
2019-11-07,8773.73,9375.0,9101.0,9216.2,62107.289243,-3961839.1344759976,71.7089998692555
2019-11-06,9216.2,9440.91,9250.01,9339.05,39117.470853,-3922721.6636229977,73.15691993569337
2019-11-05,9339.05,9454.95,9175.76,9308.66,37336.170372,-3960057.8339949977,72.17288487138876
2019-11-04,9308.66,9513.68,9115.84,9393.35,45935.873665,-3914121.960329998,73.25263265201096
2019-11-03,9393.35,9362.57,9066.14,9194.71,45894.456277,-3960016.4166069976,66.71395291318231
2019-11-02,9194.71,9373.74,9186.21,9289.52,27894.378279,-3932122.0383279976,68.174174065962
2019-11-01,9289.52,9279.0,9030.0,9231.61,28923.060828,-3961045.099155997,66.26209572773843
2019-10-31,9231.61,9405.0,8913.0,9140.85,43594.814115,-4004639.913270997,63.26714528341966
2019-10-30,9140.85,9409.84,9001.01,9154.72,54376.024902,-3950263.888368997,63.53836872675832
2019-10-29,9154.72,9550.0,9072.0,9407.62,55241.786434,-3895022.101934997,68.155423933381
2019-10-28,9407.62,9902.1,9160.0,9205.14,64158.462446,-3959180.564380997,61.44662198138102
2019-10-27,9205.14,9794.98,9074.34,9529.93,80174.217323,-3879006.347057997,67.04950650549014
2019-10-26,9529.93,10370.0,8470.38,9230.0,93833.541604,-3972839.888661997,58.582684230020654
2019-10-25,9230.0,8799.0,7361.0,8655.02,162588.585413,-4135428.4740749975,46.46834839205027
2019-10-24,8655.02,7503.68,7337.99,7412.41,90748.218174,-4226176.692248997,31.370417573972006
2019-10-23,7412.41,8047.59,7300.0,7466.62,32714.383265,-4193462.308983997,32.40227927455791
2019-10-22,7466.62,8297.99,8000.0,8020.0,63897.457098,-4129564.851885997,41.9904994472097
2019-10-21,8020.0,8333.0,8142.03,8197.27,34651.828663,-4094913.023222997,44.696661285741165
2019-10-20,8197.27,8297.0,7870.0,8223.35,30448.679539,-4064464.343683997,45.10241722644341
2019-10-19,8223.35,8098.1,7866.92,7948.01,34286.452654,-4098750.796337997,41.62974575590287
2019-10-18,7948.01,8115.0,7816.01,7947.01,26627.889388,-4125378.685725997,41.61721283647039
2019-10-17,7947.01,8124.92,7929.03,8070.58,31353.181416,-4094025.504309997,43.866118772246836
2019-10-16,8070.58,8181.16,7917.0,7991.74,29656.949158,-4123682.453467997,42.735050194790446
2019-10-15,7991.74,8403.0,8090.0,8159.29,34733.593966,-4088948.8595019975,45.926074592136615
2019-10-14,8159.29,8388.85,8203.0,8348.2,32773.062476,-4056175.7970259977,49.35289293750111
2019-10-13,8348.2,8451.37,8160.0,8275.01,29810.663253,-4085986.4602789977,48.08154882264518
2019-10-12,8275.01,8400.0,8250.0,8300.09,27840.739953,-4058145.7203259976,48.570452912332
2019-10-11,8300.09,8779.51,8212.38,8258.5,21339.334098,-4079485.0544239976,47.76715363416602
2019-10-10,8258.5,8644.0,8414.52,8558.03,50405.284418,-4029079.7700059977,53.70556284705614
2019-10-09,8558.03,8670.0,8115.0,8560.74,39137.946167,-3989941.8238389976,53.75678856607073
2019-10-08,8560.74,8325.0,8088.75,8168.39,55038.704378,-4044980.5282169976,45.847087726291264
2019-10-07,8168.39,8299.92,7762.0,8190.09,35452.657423,-4009527.870793998,46.31755539868468
2019-10-06,8190.09,8153.87,7785.0,7854.25,52202.072297,-4061729.9430909976,40.45911849950332
2019-10-05,7854.25,8183.41,8012.98,8126.19,34676.104049,-4027053.8390419977,46.373887611943196
2019-10-04,8126.19,8232.41,8005.0,8137.13,21907.615564,-4005146.223477998,46.60369429754807
2019-10-03,8137.13,8393.0,8060.0,8223.96,26476.330404,-3978669.893073998,48.49043152683258
2019-10-02,8223.96,8373.91,8151.22,8359.94,30488.284058,-3948181.609015998,51.38736983317745
2019-10-01,8359.94,8500.0,8173.05,8292.44,26243.386644,-3974424.995659998,49.887490193628665
2019-09-30,8292.44,8337.26,7710.0,8289.34,43472.418091,-4017897.413750998,49.8155771300577
2019-09-29,8289.34,8229.13,7890.0,8043.82,55865.48726,-4073762.901010998,44.36137756927787
2019-09-28,8043.82,8315.0,8001.09,8198.81,31544.211388,-4042218.6896229982,48.21584382492019
2019-09-27,8198.81,8265.0,7852.15,8177.91,34473.605165,-4076692.2947879983,47.73560463435881
2019-09-26,8177.91,8465.99,7750.0,8063.73,43882.924625,-4120575.2194129983,45.0931540427016
2019-09-25,8063.73,8730.0,8215.64,8430.05,67930.853749,-4052644.3656639983,53.90852051914277
2019-09-24,8430.05,9794.99,7800.0,8493.14,60783.892258,-3991860.473405998,55.241352514021784
2019-09-23,8493.14,10049.99,9615.77,9702.25,94007.345203,-3897853.128202998,71.9701688095845
2019-09-22,9702.25,10089.0,9853.97,10028.87,31937.232356,-3865915.895846998,74.71897762716628
2019-09-21,10028.87,10176.7,9900.0,9986.39,22049.275256,-3887965.171102998,73.70656709547171
2019-09-20,9986.39,10281.0,10061.39,10168.59,20544.175196,-3867420.995906998,75.25523270856243
2019-09-19,10168.59,10325.0,9653.0,10244.29,25088.491069,-3842332.5048379977,75.89060584767566
2019-09-18,10244.29,10258.02,10100.0,10156.99,44826.282579,-3887158.787416998,73.54527926604933
2019-09-17,10156.99,10275.0,10128.01,10187.82,24250.249303,-3862908.538113998,73.8525971459554
2019-09-16,10187.82,10355.0,10078.0,10251.31,22914.324563,-3839994.213550998,74.50932062483122
2019-09-15,10251.31,10360.0,10252.15,10302.01,28971.401657,-3811022.8118939977,75.04826269985875
2019-09-14,10302.01,10419.99,10222.33,10335.02,18047.654013,-3792975.1578809978,75.41275867077786
2019-09-13,10335.02,10439.0,10153.0,10342.06,23621.533519,-3769353.624361998,75.49497515626034
2019-09-12,10342.06,10448.81,10040.0,10415.01,30280.339776,-3739073.284585998,76.37649238855529
2019-09-11,10415.01,10293.0,9880.0,10158.33,34511.162755,-3773584.447340998,67.21449772028453
2019-09-10,10158.33,10384.99,9953.0,10098.15,31953.824562,-3805538.271902998,65.2385322852889
2019-09-09,10098.15,10480.0,10068.5,10303.12,28915.412225,-3776622.859677998,68.62201693916211
2019-09-08,10303.12,10592.5,10208.0,10381.18,39835.727608,-3736787.132069998,69.82653741226802
2019-09-07,10381.18,10558.0,10288.57,10455.88,23984.672018,-3712802.460051998,70.9747997609213
2019-09-06,10455.88,10905.87,10150.0,10298.73,27637.877392,-3740440.337443998,65.34125305477905
2019-09-05,10298.73,10900.0,10450.0,10564.49,58799.640959,-3681640.696484998,69.71862304300875
2019-09-04,10564.49,10799.0,10369.89,10567.02,33970.960639,-3647669.735845998,69.75778186602652
2019-09-03,10567.02,10773.0,10272.0,10615.28,43943.889026,-3603725.8468199978,70.54036915656951
2019-09-02,10615.28,10450.0,9712.5,10340.0,47998.376781,-3651724.2236009976,60.86516807144284
2019-09-01,10340.0,9830.0,9520.0,9724.98,44740.248093,-3696464.4716939977,45.763085697520935
2019-08-31,9724.98,9684.51,9420.75,9587.47,19545.404843,-3716009.876536998,43.18313221453101
2019-08-30,9587.47,9696.0,9350.41,9584.54,17130.290074,-3733140.166610998,43.12734081217171
2019-08-29,9584.54,9724.0,9320.0,9498.44,26834.318104,-3759974.484714998,41.4333037176627
2019-08-28,9498.44,10299.0,9601.01,9721.0,35532.69491,-3724441.789804998,47.206056783629194
2019-08-27,9721.0,10391.08,10051.08,10185.05,42110.555375,-3682331.234429998,56.773297643046604
2019-08-26,10185.05,10604.0,10137.93,10372.25,28402.775383,-3653928.459046998,59.92807397792662
2019-08-25,10372.25,10333.0,9906.97,10142.69,41687.511599,-3695615.970645998,54.65989725922737
2019-08-24,10142.69,10419.42,9890.0,10134.35,26271.657398,-3721887.628043998,54.47254359660178
2019-08-23,10134.35,10445.0,10019.79,10389.55,27692.456844,-3694195.171199998,59.093051939409264
2019-08-22,10389.55,10242.0,9762.0,10099.88,27550.336173,-3721745.5073729977,52.57118851695025
2019-08-21,10099.88,10804.13,9858.0,10142.57,34059.642738,-3687685.8646349977,53.38766458818995
2019-08-20,10142.57,10949.96,10560.0,10760.51,47355.719282,-3640330.145352998,63.249706938589554
2019-08-19,10760.51,10930.0,10258.6,10915.54,32298.921679,-3608031.223673998,65.23689375782496
2019-08-18,10915.54,10500.0,10080.0,10306.78,37243.319217,-3645274.542890998,53.09590712655407
2019-08-17,10306.78,10465.14,10000.0,10216.02,24085.395172,-3669359.938062998,51.55538547182257
2019-08-16,10216.02,10536.03,9750.0,10331.54,29000.581201,-3640359.356861998,53.40832999245817
2019-08-15,10331.54,10460.0,9911.0,10293.93,51758.142918,-3692117.499779998,52.7015710534868
2019-08-14,10293.93,10897.48,9928.1,10050.37,38174.45112,-3730291.9508999977,48.2487457662867
2019-08-13,10050.37,11456.16,10788.45,10892.71,54451.847499,-3675840.103400998,60.63605224080883
2019-08-12,10892.71,11577.89,11235.32,11396.08,33234.72968,-3642605.373720998,65.89038326713482
2019-08-11,11396.08,11600.0,11112.11,11549.97,17568.227075,-3625037.146645998,67.32628605959104
2019-08-10,11549.97,11985.0,11270.0,11309.31,26772.90691,-3651810.053555998,62.869072434034905
2019-08-09,11309.31,12045.68,11700.0,11879.99,42633.087048,-3609176.966507998,68.23876684734844
2019-08-08,11879.99,12060.0,11521.0,11999.77,39427.152588,-3569749.813919998,69.2441191607618
2019-08-07,11999.77,12141.17,11382.84,11975.03,51207.257174,-3620957.071093998,68.75999491703229
2019-08-06,11975.03,12330.7,11226.7,11481.69,69173.390353,-3690130.4614469977,59.78386297229379
2019-08-05,11481.69,11937.52,10927.8,11828.8,76705.389875,-3613425.071571998,63.403753339020106
2019-08-04,11828.8,11040.0,10552.0,10929.23,65153.673713,-3678578.745284998,50.67370047870642
2019-08-03,10929.23,10904.77,10497.93,10816.86,39924.745141,-3718503.490425998,49.341027688110664
2019-08-02,10816.86,10670.0,10281.35,10523.75,33802.318824,-3752305.809249998,45.94665337151771
2019-08-01,10523.75,10467.86,9863.46,10374.99,42990.444221,-3795296.2534709983,44.28164838479459
2019-07-31,10374.99,10109.8,9555.0,10080.53,41727.637028,-3837023.890498998,41.10627636445648
